episode,step,action,reward,total_reward,active_incidents,new_incidents,resolved_incidents,resources
1,1,REPAIR,0.8,0.8,0,0,0,99.25
1,2,REPAIR,0.8,1.6,0,0,0,98.5
1,3,REPAIR,0.8,2.4000000000000004,0,0,0,97.75
1,4,REPAIR,0.8,3.2,0,0,0,97.0
1,5,REPAIR,0.8,4.0,0,0,0,96.25
1,6,REPAIR,0.8,4.8,0,0,0,95.5
1,7,REPAIR,0.8,5.6,0,0,0,94.75
1,8,REPAIR,0.8,6.3999999999999995,0,0,0,94.0
1,9,REPAIR,0.8,7.199999999999999,0,0,0,93.25
1,10,REPAIR,0.8,7.999999999999999,0,0,0,92.5
1,11,REPAIR,0.8,8.799999999999999,0,0,0,91.75
1,12,REPAIR,0.8,9.6,0,0,0,91.0
1,13,REPAIR,0.8,10.4,0,0,0,90.25
1,14,REPAIR,0.8,11.200000000000001,0,0,0,89.5
1,15,REPAIR,0.8,12.000000000000002,0,0,0,88.75
1,16,REPAIR,0.8,12.800000000000002,0,0,0,88.0
1,17,REPAIR,0.8,13.600000000000003,0,0,0,87.25
1,18,REPAIR,0.8,14.400000000000004,0,0,0,86.5
1,19,REPAIR,0.8,15.200000000000005,0,0,0,85.75
1,20,REPAIR,0.8,16.000000000000004,0,0,0,85.0
1,21,REPAIR,0.8,16.800000000000004,0,0,0,84.25
1,22,REPAIR,0.8,17.600000000000005,0,0,0,83.5
1,23,REPAIR,0.8,18.400000000000006,0,0,0,82.75
1,24,REPAIR,0.8,19.200000000000006,0,0,0,82.0
1,25,REPAIR,0.8,20.000000000000007,0,0,0,81.25
1,26,REPAIR,0.8,20.800000000000008,0,0,0,80.5
1,27,REPAIR,0.8,21.60000000000001,0,0,0,79.75
1,28,REPAIR,0.8,22.40000000000001,0,0,0,79.0
1,29,REPAIR,0.8,23.20000000000001,0,0,0,78.25
1,30,REPAIR,0.8,24.00000000000001,0,0,0,77.5
1,31,REPAIR,0.8,24.80000000000001,0,0,0,76.75
1,32,REPAIR,0.8,25.600000000000012,0,0,0,76.0
1,33,REPAIR,0.8,26.400000000000013,0,0,0,75.25
1,34,REPAIR,0.8,27.200000000000014,0,0,0,74.5
1,35,REPAIR,0.8,28.000000000000014,0,0,0,73.75
1,36,REPAIR,0.8,28.800000000000015,0,0,0,73.0
1,37,REPAIR,0.8,29.600000000000016,0,0,0,72.25
1,38,REPAIR,0.8,30.400000000000016,0,0,0,71.5
1,39,REPAIR,0.8,31.200000000000017,0,0,0,70.75
1,40,REPAIR,0.8,32.000000000000014,0,0,0,70.0
1,41,REPAIR,0.8,32.80000000000001,0,0,0,69.25
1,42,REPAIR,0.8,33.60000000000001,0,0,0,68.5
1,43,REPAIR,0.8,34.400000000000006,0,0,0,67.75
1,44,REPAIR,0.8,35.2,0,0,0,67.0
1,45,REPAIR,0.8,36.0,0,0,0,66.25
1,46,REPAIR,0.8,36.8,0,0,0,65.5
1,47,REPAIR,0.8,37.599999999999994,0,0,0,64.75
1,48,REPAIR,0.8,38.39999999999999,0,0,0,64.0
1,49,REPAIR,0.8,39.19999999999999,0,0,0,63.25
1,50,REPAIR,0.8,39.999999999999986,0,0,0,62.5
1,51,REPAIR,0.8,40.79999999999998,0,0,0,61.75
1,52,REPAIR,0.8,41.59999999999998,0,0,0,61.0
1,53,REPAIR,0.8,42.39999999999998,0,0,0,60.25
1,54,REPAIR,0.8,43.199999999999974,0,0,0,59.5
1,55,REPAIR,0.8,43.99999999999997,0,0,0,58.75
1,56,REPAIR,0.8,44.79999999999997,0,0,0,58.0
1,57,REPAIR,0.8,45.599999999999966,0,0,0,57.25
1,58,REPAIR,0.8,46.39999999999996,0,0,0,56.5
1,59,REPAIR,0.8,47.19999999999996,0,0,0,55.75
1,60,REPAIR,0.8,47.99999999999996,0,0,0,55.0
1,61,REPAIR,0.8,48.799999999999955,0,0,0,54.25
1,62,REPAIR,0.8,49.59999999999995,0,0,0,53.5
1,63,REPAIR,0.8,50.39999999999995,0,0,0,52.75
1,64,REPAIR,0.8,51.199999999999946,0,0,0,52.0
1,65,REPAIR,0.8,51.99999999999994,0,0,0,51.25
1,66,REPAIR,0.8,52.79999999999994,0,0,0,50.5
1,67,REPAIR,0.7,53.49999999999994,0,0,0,49.75
1,68,REPAIR,0.7,54.199999999999946,0,0,0,49.0
1,69,REPAIR,0.7,54.89999999999995,0,0,0,48.25
1,70,REPAIR,0.7,55.59999999999995,0,0,0,47.5
1,71,REPAIR,0.7,56.299999999999955,0,0,0,46.75
1,72,REPAIR,0.7,56.99999999999996,0,0,0,46.0
1,73,REPAIR,0.7,57.69999999999996,0,0,0,45.25
1,74,REPAIR,0.7,58.39999999999996,0,0,0,44.5
1,75,REPAIR,0.7,59.099999999999966,0,0,0,43.75
1,76,REPAIR,0.7,59.79999999999997,0,0,0,43.0
1,77,REPAIR,0.7,60.49999999999997,0,0,0,42.25
1,78,REPAIR,0.7,61.199999999999974,0,0,0,41.5
1,79,REPAIR,0.7,61.89999999999998,0,0,0,40.75
1,80,REPAIR,0.7,62.59999999999998,0,0,0,40.0
1,81,REPAIR,0.7,63.29999999999998,0,0,0,39.25
1,82,REPAIR,0.7,63.999999999999986,0,0,0,38.5
1,83,REPAIR,0.7,64.69999999999999,0,0,0,37.75
1,84,REPAIR,0.7,65.39999999999999,0,0,0,37.0
1,85,REPAIR,0.7,66.1,0,0,0,36.25
1,86,REPAIR,0.7,66.8,0,0,0,35.5
1,87,REPAIR,0.7,67.5,0,0,0,34.75
1,88,REPAIR,0.7,68.2,0,0,0,34.0
