episode,step,event,count,action,reward,total_reward,active_incidents,new_incidents,resolved_incidents,resources
2,42,new_incidents,1,DEPLOY_TEAM,-2.067274560252031,-73.81727456025203,2,1,0,100.0
2,63,resolved_incidents,1,DEPLOY_TEAM,-1.95,-115.31867948280386,1,0,1,100.0
2,66,resolved_incidents,1,DEPLOY_TEAM,-1.75,-120.96867948280386,0,0,1,100.0
4,10,new_incidents,1,DEPLOY_TEAM,-2.7603534650359514,-18.51035346503595,10,1,0,100.0
4,31,resolved_incidents,1,DEPLOY_TEAM,18.05,-45.90067361476764,16,0,1,100.0
4,32,resolved_incidents,7,DEPLOY_TEAM,-1.95,-47.85067361476764,9,0,7,100.0
4,34,resolved_incidents,9,DEPLOY_TEAM,-1.75,-51.550673614767646,0,0,9,100.0
4,65,new_incidents,1,DEPLOY_TEAM,-2.1750553320336548,-106.2257289468013,2,1,0,100.0
4,88,resolved_incidents,1,DEPLOY_TEAM,-1.9526595825210342,-153.4147394356222,2,0,1,100.0
4,90,resolved_incidents,1,DEPLOY_TEAM,-1.95,-157.3147394356222,1,0,1,100.0
4,95,resolved_incidents,1,DEPLOY_TEAM,-1.75,-166.86473943562214,0,0,1,100.0
5,15,new_incidents,1,DEPLOY_TEAM,-2.0688726637675887,-26.56887266376759,2,1,0,100.0
5,37,resolved_incidents,1,DEPLOY_TEAM,-1.95,-70.03645838441447,1,0,1,100.0
5,39,resolved_incidents,1,DEPLOY_TEAM,-1.75,-73.73645838441448,0,0,1,100.0
