episode,step,action,reward,total_reward,active_incidents,new_incidents,resolved_incidents,resources
1,1,DEPLOY_TEAM,-1.75,-1.75,0,0,0,100.0
1,2,DEPLOY_TEAM,-1.75,-3.5,0,0,0,100.0
1,3,DEPLOY_TEAM,-1.75,-5.25,0,0,0,100.0
1,4,DEPLOY_TEAM,-1.75,-7.0,0,0,0,100.0
1,5,DEPLOY_TEAM,-1.75,-8.75,0,0,0,100.0
1,6,DEPLOY_TEAM,-1.75,-10.5,0,0,0,100.0
1,7,DEPLOY_TEAM,-1.75,-12.25,0,0,0,100.0
1,8,DEPLOY_TEAM,-1.75,-14.0,0,0,0,100.0
1,9,DEPLOY_TEAM,-1.75,-15.75,0,0,0,100.0
1,10,DEPLOY_TEAM,-1.75,-17.5,0,0,0,100.0
1,11,DEPLOY_TEAM,-1.75,-19.25,0,0,0,100.0
1,12,DEPLOY_TEAM,-1.75,-21.0,0,0,0,100.0
1,13,DEPLOY_TEAM,-1.75,-22.75,0,0,0,100.0
1,14,DEPLOY_TEAM,-1.75,-24.5,0,0,0,100.0
1,15,DEPLOY_TEAM,-1.75,-26.25,0,0,0,100.0
1,16,DEPLOY_TEAM,-1.75,-28.0,0,0,0,100.0
1,17,DEPLOY_TEAM,-1.75,-29.75,0,0,0,100.0
1,18,DEPLOY_TEAM,-1.75,-31.5,0,0,0,100.0
1,19,DEPLOY_TEAM,-1.75,-33.25,0,0,0,100.0
1,20,DEPLOY_TEAM,-1.75,-35.0,0,0,0,100.0
1,21,DEPLOY_TEAM,-1.75,-36.75,0,0,0,100.0
1,22,DEPLOY_TEAM,-1.75,-38.5,0,0,0,100.0
1,23,DEPLOY_TEAM,-1.75,-40.25,0,0,0,100.0
1,24,DEPLOY_TEAM,-1.75,-42.0,0,0,0,100.0
1,25,DEPLOY_TEAM,-1.75,-43.75,0,0,0,100.0
1,26,DEPLOY_TEAM,-1.75,-45.5,0,0,0,100.0
1,27,DEPLOY_TEAM,-1.75,-47.25,0,0,0,100.0
1,28,DEPLOY_TEAM,-1.75,-49.0,0,0,0,100.0
1,29,DEPLOY_TEAM,-1.75,-50.75,0,0,0,100.0
1,30,DEPLOY_TEAM,-1.75,-52.5,0,0,0,100.0
1,31,DEPLOY_TEAM,-1.75,-54.25,0,0,0,100.0
1,32,DEPLOY_TEAM,-1.75,-56.0,0,0,0,100.0
1,33,DEPLOY_TEAM,-1.75,-57.75,0,0,0,100.0
1,34,DEPLOY_TEAM,-1.75,-59.5,0,0,0,100.0
1,35,DEPLOY_TEAM,-1.75,-61.25,0,0,0,100.0
1,36,DEPLOY_TEAM,-1.75,-63.0,0,0,0,100.0
1,37,DEPLOY_TEAM,-1.75,-64.75,0,0,0,100.0
